Órgão superior,Órgão subordinado,Unidade administrativa,contract_no,Número do ICJ,Número do processo,Enquadramento do Processo,supplier,CNPJ/CPF,object,legal_basis,start,end,contract_value_raw,Saldo bruto do contrato,Saldo inativo,status,Número dos aditivos,service_line,currency,value
MINISTÉRIO DE MINAS E ENERGIA,PETROBRAS,910816 - Petróleo Brasileiro S.A.,4600680428,5900.0128646.24.2,7004236083.0,LICITAÇÃO,HALLIBURTON FAR EAST PTE LTD.,EXTERNO,BENS DE AVALIAÇÃO DE FORMAÇÕES,"Licitação, Lei 13.303, Art. 28, CAPUT",2024-10-18,2027-04-20,"US$ 3.336.632,12","US$ 3.336.632,12","US$ 0,00",Ativo,,Formation Evaluation,USD,3336632.12
MINISTÉRIO DE MINAS E ENERGIA,PETROBRAS,910816 - Petróleo Brasileiro S.A.,4600680439,5900.0128409.24.2,7004272529.0,INEXIGIBIL,HALLIBURTON PRODUTOS LTDA.,16328932000106,PRESTAÇÃO DE SERVIÇOS DE SUPORTE TÉCNICO ESPECIALIZADO NO USO DE TECNOLOGIAS E SISTEMAS DE EXPLORAÇÃO E RESERVATÓRIOS PARA INTERPRET,"Inexigibilidade, Lei 13.303, Art.30, CAPUT - Inviabilidade de competição",2024-09-23,2027-03-24,"R$ 28.528.201,93","R$ 8.624.094,58","R$ 0,00",Ativo,,Other,BRL,28528201.93
MINISTÉRIO DE MINAS E ENERGIA,PETROBRAS,910816 - Petróleo Brasileiro S.A.,4600681150,5900.0128870.24.2,7004286668.0,LICITAÇÃO,HALLIBURTON PRODUTOS LTDA.,16328932000106,"SERVIÇOS TÉCNICOS DE PERFILAGEM A POÇO ABERTO E POÇO REVESTIDO, DE CANHONEIO E CORRELATOS EM POÇOS DE PETRÓLEO E GÁS","Licitação, Lei 13.303, Art. 28, CAPUT",2024-10-28,2027-10-27,"R$ 167.547.784,02","R$ 126.693.893,08","R$ 0,00",Ativo,001-002,Other,BRL,167547784.02
MINISTÉRIO DE MINAS E ENERGIA,PETROBRAS,910816 - Petróleo Brasileiro S.A.,4600681153,5900.0128836.24.2,7004280617.0,LICITAÇÃO,HALLIBURTON PRODUTOS LTDA.,16328932000106,SERVIÇO DE SUPORTE À OPERAÇÃO E MANUTENÇÃO DE POÇOS,"Licitação, Lei 13.303, Art. 28, CAPUT",2024-10-11,2028-01-18,"R$ 149.128.972,20","R$ 97.846.159,14","R$ 0,00",Ativo,001,Other,BRL,149128972.2
MINISTÉRIO DE MINAS E ENERGIA,PETROBRAS,910816 - Petróleo Brasileiro S.A.,4600681156,5900.0128519.24.2,7004236083.0,LICITAÇÃO,HALLIBURTON PRODUTOS LTDA.,16328932000106,SERVIÇOS DE AVALIAÇÃO DE FORMAÇÃO,"Licitação, Lei 13.303, Art. 28, CAPUT",2024-10-18,2028-04-14,"R$ 164.704.661,87","R$ 144.185.627,41","R$ 0,00",Ativo,001,Other,BRL,164704661.87
MINISTÉRIO DE MINAS E ENERGIA,PETROBRAS,910816 - Petróleo Brasileiro S.A.,4600681157,5900.0128519.24.2,7004236083.0,LICITAÇÃO,HALLIBURTON PRODUTOS LTDA.,16328932000106,SERVIÇOS DE AVALIAÇÃO DE FORMAÇÃO,"Licitação, Lei 13.303, Art. 28, CAPUT",2024-10-18,2028-04-14,"US$ 31.450.093,43","US$ 26.129.718,48","US$ 0,00",Ativo,001,Other,USD,31450093.43
MINISTÉRIO DE MINAS E ENERGIA,PETROBRAS,910816 - Petróleo Brasileiro S.A.,4600681164,5900.0128836.24.2,7004280617.0,LICITAÇÃO,HALLIBURTON PRODUTOS LTDA.,16328932000106,SERVIÇO DE SUPORTE À OPERAÇÃO E MANUTENÇÃO DE POÇOS,"Licitação, Lei 13.303, Art. 28, CAPUT",2024-10-11,2028-01-18,"US$ 3.749.211,90","US$ 2.413.022,98","US$ 0,00",Ativo,001,Other,USD,3749211.9
MINISTÉRIO DE MINAS E ENERGIA,PETROBRAS,910816 - Petróleo Brasileiro S.A.,4600681172,5900.0128870.24.2,7004286668.0,LICITAÇÃO,HALLIBURTON PRODUTOS LTDA.,16328932000106,"SERVIÇOS TÉCNICOS DE PERFILAGEM A POÇO ABERTO E POÇO REVESTIDO, DE CANHONEIO E CORRELATOS EM POÇOS DE PETRÓLEO E GÁS","Licitação, Lei 13.303, Art. 28, CAPUT",2024-10-28,2027-10-27,"R$ 16.918.942,06","R$ 12.276.501,90","R$ 0,00",Ativo,002-001,Other,BRL,16918942.06
MINISTÉRIO DE MINAS E ENERGIA,PETROBRAS,910816 - Petróleo Brasileiro S.A.,4600682210,5900.0129031.24.2,7004225124.0,LICITAÇÃO,HALLIBURTON PRODUTOS LTDA.,16328932000106,SERVIÇOS DE CONSTRUÇÃO DE POÇOS,"Licitação, Lei 13.303, Art. 28, CAPUT",2024-11-05,2029-11-03,"R$ 2.735.375.836,65","R$ 2.489.646.564,51","R$ 0,00",Ativo,001,Well Construction,BRL,2735375836.65
MINISTÉRIO DE MINAS E ENERGIA,PETROBRAS,910816 - Petróleo Brasileiro S.A.,4600682214,5900.0129031.24.2,7004225124.0,LICITAÇÃO,HALLIBURTON PRODUTOS LTDA.,16328932000106,SERVIÇOS DE CONSTRUÇÃO DE POÇOS,"Licitação, Lei 13.303, Art. 28, CAPUT",2024-11-05,2029-11-03,"US$ 334.391.735,79","US$ 302.528.105,02","US$ 0,00",Ativo,001,Well Construction,USD,334391735.79
