procdet,pv,tipo,geojson,procedencia,empresa_informante,tejas_match,tejas_found_in
LOMITA,Sin Dato110,FOSA DE QUEMA,"{""type"":""Point"",""coordinates"":[-69.1716382030406,-37.3432009318774]}",PLANTA COMPRESORA,YPF S.A.,False,
LOMITA,Sin Dato111,FOSA DE QUEMA,"{""type"":""Point"",""coordinates"":[-69.1781584344641,-37.3352629399327]}",PLANTA COMPRESORA,YPF S.A.,False,
LOMITA,Sin Dato112,FOSA DE QUEMA,"{""type"":""Point"",""coordinates"":[-69.1589742224824,-37.3300674773322]}",PLANTA COMPRESORA,YPF S.A.,False,
LOMITA,Sin Dato113,FOSA DE QUEMA,"{""type"":""Point"",""coordinates"":[-69.241139532963,-37.347260453607]}",PLANTA COMPRESORA,YPF S.A.,False,
EL MEDANITO,Sin Dato114,FOSA DE QUEMA,"{""type"":""Point"",""coordinates"":[-67.9444649020336,-38.062241725775]}",PLANTA COMPRESORA,YPF S.A.,False,
ESTACIÃN COMPRESORA 6,OESTE-LLL-USP-6 Baja VTO USP-6 Baja,CHIMENEA DE QUEMA,"{""type"":""Point"",""coordinates"":[-68.7698771595033,-38.4174267177688]}",YACIMIENTO,YPF S.A.,False,
BOOSTER - CHIUIDO DE LA SIERRA NEGRA,Sin Dato75,FOSA DE QUEMA,"{""type"":""Point"",""coordinates"":[-69.2666766970719,-37.3422770475477]}",PLANTA COMPRESORA,YPF S.A.,False,
SEÃAL PICADA,Sin Dato117,FOSA DE QUEMA,"{""type"":""Point"",""coordinates"":[-68.2007467514614,-37.6622402651761]}",PLANTA COMPRESORA,YPF S.A.,False,
SEÃAL PICADA,Sin Dato118,FOSA DE QUEMA,"{""type"":""Point"",""coordinates"":[-68.169095891762,-37.6773494052508]}",PLANTA COMPRESORA,YPF S.A.,False,
ESTACIÃN COMPRESORA 3,OESTE-LLL-USP-3 Baja VTO USP-3 Baja,CHIMENEA DE QUEMA,"{""type"":""Point"",""coordinates"":[-68.7135148734126,-38.4253299895873]}",YACIMIENTO,YPF S.A.,False,
BATERIA NORTE,OESTE-EPn-BR-BATERIA NORTE Venteo - EPn,CHIMENEA DE QUEMA,"{""type"":""Point"",""coordinates"":[-69.5861220670797,-36.9870335213799]}",YACIMIENTO,YPF S.A.,False,
Estacion Motocompresora 9,Venteo Estacion Motocompresora 9,CHIMENEA DE QUEMA,"{""type"":""Point"",""coordinates"":[-68.3368006072567,-38.161381874968]}",YACIMIENTO,VISTA OIL & GAS ARGENTINA SAU,False,
BATERIA 1 CAÃADON AMARILLO,OESTE-ZV-BR-BATERIA 1 CAM Venteo - EPn,FOSA DE QUEMA,"{""type"":""Point"",""coordinates"":[-69.3924041152576,-36.987706958909]}",PLANTA COMPRESORA,YPF S.A.,False,
BATERIA SUR,OESTE-EPT-BR-BATERIA SUR,CHIMENEA DE QUEMA,"{""type"":""Point"",""coordinates"":[-69.6016931052526,-37.09340191017]}",YACIMIENTO,YPF S.A.,False,
BATERÃA 2 FILO MORADO,Sin Dato134,CHIMENEA DE QUEMA,"{""type"":""Point"",""coordinates"":[-69.6743432440454,-37.3145248064746]}",YACIMIENTO,YPF S.A.,False,
BATERÃA 1 FILO MORADO,OESTE-EPT-BR- FILO MORADO MGF Venteo Filo Morado,CHIMENEA DE QUEMA,"{""type"":""Point"",""coordinates"":[-69.6588162636596,-37.2793174851138]}",YACIMIENTO,YPF S.A.,False,
