anio,cuenca,concepto,cantidad_mm3,indice_tiempo,mes,tejas_match,tejas_found_in
2015,NOROESTE,Producción convencional,233798.937,2015-09,9,False,
2015,NOROESTE,Shale gas,0.0,2015-09,9,False,
2015,NOROESTE,Tight gas,0.0,2015-09,9,False,
2015,AUSTRAL,Producción convencional,854013.922314783,2015-10,10,False,
2015,AUSTRAL,Shale gas,0.0,2015-10,10,False,
2015,AUSTRAL,Tight gas,5070.758,2015-10,10,False,
2015,CAÑADON ASFALTO,Producción convencional,0.0,2015-10,10,False,
2015,CAÑADON ASFALTO,Shale gas,0.0,2015-10,10,False,
2015,CAÑADON ASFALTO,Tight gas,0.0,2015-10,10,False,
2015,CUYANA,Producción convencional,4771.62637,2015-10,10,False,
2015,CUYANA,Shale gas,0.0,2015-10,10,False,
2015,CUYANA,Tight gas,0.0,2015-10,10,False,
2015,DEL COLORADO,Producción convencional,0.0,2015-10,10,False,
2015,DEL COLORADO,Shale gas,0.0,2015-10,10,False,
2015,DEL COLORADO,Tight gas,0.0,2015-10,10,False,
2015,GOLFO SAN JORGE,Producción convencional,504322.65969675,2015-10,10,False,
2015,GOLFO SAN JORGE,Shale gas,281.54,2015-10,10,False,
2015,GOLFO SAN JORGE,Tight gas,0.0,2015-10,10,False,
2015,LOS BOLSONES,Producción convencional,0.0,2015-10,10,False,
2015,LOS BOLSONES,Shale gas,0.0,2015-10,10,False,
2015,LOS BOLSONES,Tight gas,0.0,2015-10,10,False,
2015,MALVINAS,Producción convencional,0.0,2015-10,10,False,
2015,MALVINAS,Shale gas,0.0,2015-10,10,False,
2015,MALVINAS,Tight gas,0.0,2015-10,10,False,
2015,NEUQUINA,Producción convencional,1414344.348284403,2015-10,10,False,
2015,NEUQUINA,Shale gas,115410.752411,2015-10,10,False,
2016,MERCEDES,Shale gas,0.0,2016-12,12,False,
2015,NEUQUINA,Tight gas,566828.9047,2015-10,10,False,
2015,ÑIRIHUAU,Producción convencional,0.0,2015-10,10,False,
2015,ÑIRIHUAU,Shale gas,0.0,2015-10,10,False,
2015,ÑIRIHUAU,Tight gas,0.0,2015-10,10,False,
2015,NORESTE,Producción convencional,0.0,2015-10,10,False,
2015,NORESTE,Shale gas,0.0,2015-10,10,False,
2015,NORESTE,Tight gas,0.0,2015-10,10,False,
2015,NOROESTE,Producción convencional,241543.959,2015-10,10,False,
2015,NOROESTE,Shale gas,0.0,2015-10,10,False,
2015,NOROESTE,Tight gas,0.0,2015-10,10,False,
2015,AUSTRAL,Producción convencional,803427.806888,2015-11,11,False,
2015,AUSTRAL,Shale gas,0.0,2015-11,11,False,
2015,AUSTRAL,Tight gas,5122.286,2015-11,11,False,
2015,CAÑADON ASFALTO,Producción convencional,0.0,2015-11,11,False,
2015,CAÑADON ASFALTO,Shale gas,0.0,2015-11,11,False,
2015,CAÑADON ASFALTO,Tight gas,0.0,2015-11,11,False,
2015,CUYANA,Producción convencional,4599.10178,2015-11,11,False,
2015,CUYANA,Shale gas,0.0,2015-11,11,False,
2015,CUYANA,Tight gas,0.0,2015-11,11,False,
2015,DEL COLORADO,Producción convencional,0.0,2015-11,11,False,
2015,DEL COLORADO,Shale gas,0.0,2015-11,11,False,
2015,DEL COLORADO,Tight gas,0.0,2015-11,11,False,
2015,GOLFO SAN JORGE,Producción convencional,486110.939953204,2015-11,11,False,
2015,GOLFO SAN JORGE,Shale gas,268.63,2015-11,11,False,
2015,GOLFO SAN JORGE,Tight gas,0.0,2015-11,11,False,
2015,LOS BOLSONES,Producción convencional,0.0,2015-11,11,False,
2015,LOS BOLSONES,Shale gas,0.0,2015-11,11,False,
2015,LOS BOLSONES,Tight gas,0.0,2015-11,11,False,
2015,MALVINAS,Producción convencional,0.0,2015-11,11,False,
2015,MALVINAS,Shale gas,0.0,2015-11,11,False,
2015,MALVINAS,Tight gas,0.0,2015-11,11,False,
2015,NEUQUINA,Producción convencional,1358758.241377071,2015-11,11,False,
2015,NEUQUINA,Shale gas,104578.66999,2015-11,11,False,
2015,NEUQUINA,Tight gas,563644.8248710249,2015-11,11,False,
2015,ÑIRIHUAU,Producción convencional,0.0,2015-11,11,False,
2015,ÑIRIHUAU,Shale gas,0.0,2015-11,11,False,
2015,ÑIRIHUAU,Tight gas,0.0,2015-11,11,False,
2015,NORESTE,Producción convencional,0.0,2015-11,11,False,
2015,NORESTE,Shale gas,0.0,2015-11,11,False,
2015,NORESTE,Tight gas,0.0,2015-11,11,False,
2015,NOROESTE,Producción convencional,230396.764,2015-11,11,False,
2015,NOROESTE,Shale gas,0.0,2015-11,11,False,
2015,NOROESTE,Tight gas,0.0,2015-11,11,False,
2015,AUSTRAL,Producción convencional,694963.388560919,2015-12,12,False,
2015,AUSTRAL,Shale gas,0.0,2015-12,12,False,
2015,AUSTRAL,Tight gas,5042.244,2015-12,12,False,
2015,CAÑADON ASFALTO,Producción convencional,0.0,2015-12,12,False,
2015,CAÑADON ASFALTO,Shale gas,0.0,2015-12,12,False,
2015,CAÑADON ASFALTO,Tight gas,0.0,2015-12,12,False,
2015,CUYANA,Producción convencional,4536.85896,2015-12,12,False,
2015,CUYANA,Shale gas,0.0,2015-12,12,False,
2015,CUYANA,Tight gas,0.0,2015-12,12,False,
2015,DEL COLORADO,Producción convencional,0.0,2015-12,12,False,
2015,DEL COLORADO,Shale gas,0.0,2015-12,12,False,
2015,DEL COLORADO,Tight gas,0.0,2015-12,12,False,
2015,GOLFO SAN JORGE,Producción convencional,498489.801894364,2015-12,12,False,
2015,GOLFO SAN JORGE,Shale gas,96.52,2015-12,12,False,
2015,GOLFO SAN JORGE,Tight gas,0.0,2015-12,12,False,
2015,LOS BOLSONES,Producción convencional,0.0,2015-12,12,False,
2015,LOS BOLSONES,Shale gas,0.0,2015-12,12,False,
2015,LOS BOLSONES,Tight gas,0.0,2015-12,12,False,
2015,MALVINAS,Producción convencional,0.0,2015-12,12,False,
2015,MALVINAS,Shale gas,0.0,2015-12,12,False,
2015,MALVINAS,Tight gas,0.0,2015-12,12,False,
2015,NEUQUINA,Producción convencional,1419019.433246445,2015-12,12,False,
2015,NEUQUINA,Shale gas,108305.75159,2015-12,12,False,
2015,NEUQUINA,Tight gas,617212.399221878,2015-12,12,False,
2015,ÑIRIHUAU,Producción convencional,0.0,2015-12,12,False,
2015,ÑIRIHUAU,Shale gas,0.0,2015-12,12,False,
2015,ÑIRIHUAU,Tight gas,0.0,2015-12,12,False,
2015,NORESTE,Producción convencional,0.0,2015-12,12,False,
2015,NORESTE,Shale gas,0.0,2015-12,12,False,
2015,NORESTE,Tight gas,0.0,2015-12,12,False,
2015,NOROESTE,Producción convencional,239598.927,2015-12,12,False,
2015,NOROESTE,Shale gas,0.0,2015-12,12,False,
2015,NOROESTE,Tight gas,0.0,2015-12,12,False,
2016,AUSTRAL,Producción convencional,826425.055272311,2016-01,1,False,
2016,AUSTRAL,Shale gas,0.0,2016-01,1,False,
2016,AUSTRAL,Tight gas,5000.727,2016-01,1,False,
2016,CAÑADON ASFALTO,Producción convencional,0.0,2016-01,1,False,
2016,CAÑADON ASFALTO,Shale gas,0.0,2016-01,1,False,
2016,CAÑADON ASFALTO,Tight gas,0.0,2016-01,1,False,
2016,CUYANA,Producción convencional,4510.0823874,2016-01,1,False,
2016,CUYANA,Shale gas,0.0,2016-01,1,False,
2016,CUYANA,Tight gas,0.0,2016-01,1,False,
2016,MERCEDES,Tight gas,0.0,2016-12,12,False,
2016,DEL COLORADO,Producción convencional,0.0,2016-01,1,False,
2016,DEL COLORADO,Shale gas,0.0,2016-01,1,False,
2016,DEL COLORADO,Tight gas,0.0,2016-01,1,False,
2016,GOLFO SAN JORGE,Producción convencional,496054.688749773,2016-01,1,False,
2016,GOLFO SAN JORGE,Shale gas,85.94,2016-01,1,False,
2016,GOLFO SAN JORGE,Tight gas,0.0,2016-01,1,False,
2016,LOS BOLSONES,Producción convencional,0.0,2016-01,1,False,
2016,LOS BOLSONES,Shale gas,0.0,2016-01,1,False,
2016,LOS BOLSONES,Tight gas,0.0,2016-01,1,False,
2016,MALVINAS,Producción convencional,0.0,2016-01,1,False,
2016,MALVINAS,Shale gas,0.0,2016-01,1,False,
2016,MALVINAS,Tight gas,0.0,2016-01,1,False,
2016,NEUQUINA,Producción convencional,1409914.133859299,2016-01,1,False,
2016,NEUQUINA,Shale gas,111395.957631,2016-01,1,False,
