anio,empresa,provincia,areayacimiento,idareayacimiento,cuenca,indice_tiempo,mes,produccion_gas_promedio_dia_mm3,areapermisoconcesion,idareapermisoconcesion,tejas_match,tejas_found_in
2009,PETROBRAS ARGENTINA S.A.,Rio Negro,CNQ-33 CERRO MANRIQUE,Y051,NEUQUINA,2009-10,10,0.0,CERRO MANRIQUE (CNQ-33),CEMA,False,
2009,PETROBRAS ARGENTINA S.A.,Salta,CHIRETE,CHRT,NOROESTE,2009-10,10,0.0,CHIRETE,CHTE,False,
2009,PETROBRAS ARGENTINA S.A.,Salta,LOS BLANCOS,LBCS,NOROESTE,2009-10,10,0.0,CHIRETE,CHTE,False,
2009,PETROBRAS ARGENTINA S.A.,Santa Cruz,DOS HERMANOS,DHE,AUSTRAL,2009-10,10,864.9519,DOS HERMANOS,DHE,False,
2009,PETROBRAS ARGENTINA S.A.,Estado Nacional,ENARSA-3 NORTE,ENTN,DEL COLORADO,2009-10,10,0.0,E-3 (ENARSA-3),ENTR,False,
2009,PETROBRAS ARGENTINA S.A.,Estado Nacional,ENARSA-3 SUR,ENTS,DEL COLORADO,2009-10,10,0.0,E-3 (ENARSA-3),ENTR,False,
2009,PETROBRAS ARGENTINA S.A.,Santa Cruz,EL CAMPAMENTO,ECAM,AUSTRAL,2009-10,10,0.0,EL CAMPAMENTO,ECTO,False,
2009,PETROBRAS ARGENTINA S.A.,Santa Cruz,EL PUMA,EPUM,AUSTRAL,2009-10,10,0.0,EL CAMPAMENTO,ECTO,False,
2009,PETROBRAS ARGENTINA S.A.,Santa Cruz,EL CERRITO               ,ECE,AUSTRAL,2009-10,10,0.0,EL CERRITO,CER,False,
2009,PETROBRAS ARGENTINA S.A.,Santa Cruz,EL CERRITO,ECRR,AUSTRAL,2009-10,10,0.0,EL CERRITO OESTE,ECEO,False,
2009,PETROBRAS ARGENTINA S.A.,Neuquén,EL MANGRULLO,MGR,NEUQUINA,2009-10,10,928.0494,EL MANGRULLO,GRU,False,
2009,PETROBRAS ARGENTINA S.A.,Santa Cruz,ESTANCIA AGUA FRESCA,ESCA,AUSTRAL,2009-10,10,70.3181,ESTANCIA AGUA FRESCA,EAF,False,
2009,PETROBRAS ARGENTINA S.A.,Santa Cruz,ESTANCIA CHIRIPA,ECHI,AUSTRAL,2009-10,10,0.0,ESTANCIA CHIRIPA,ECHI,False,
2009,PETROBRAS ARGENTINA S.A.,Santa Cruz,GLENCROSS,GLEN,AUSTRAL,2009-10,10,0.0,GLENCROSS,GLEN,False,
2009,PETROBRAS ARGENTINA S.A.,La Pampa,BANDERITA,BRTA,NEUQUINA,2009-10,10,0.0,JAGÜEL DE LOS MACHOS,JAG,False,
2009,PETROBRAS ARGENTINA S.A.,La Pampa,BANDERITA ESTE,BANE,NEUQUINA,2009-10,10,0.0,JAGÜEL DE LOS MACHOS,JAG,False,
