COMISIÓN NACIONAL DE HIDROCARBUROS,,,,,,,,,,
PRODUCCION POR CONTRATO,,,,,,,,,,
Producción mensual por contrato y operador,,,,,,,,,,
Datos a enero - 2025.,,,,,,,,,,
Notas: Las unidades corresponden a Miles de barriles diarios (Mbd) y Millones de pies cúbicos diarios (MMpcd).,,,,,,,,,,
Hidrocarburos líquidos: Se refiere a la suma de petróleo y condensado.,,,,,,,,,,
Para información geográfica de los contratos visite https://mapa.hidrocarburos.gob.mx,,,,,,,,,,
,,,,,,,,,,
FECHA,CONTRATO,OPERADOR,HIDROCARBUROS_LIQUIDOS_MBD,PETROLEO_MBD,CONDENSADO_MBD,GAS_MMPCD,GAS_ASOC_MMPCD,GAS_NASOC_MMPCD,N2_MMPCD,AGUA_MBD
02/2017,CNH-R01-L03-A2/2015,CONSORCIO PETROLERO 5M DEL GOLFO,0.0,0.0,0.0,10.377907736,0.0,10.377907736,0.07572,0.036560446
02/2017,CNH-R01-L03-A20/2016,GS OIL & GAS,0.0,0.0,0.0,2.540769365,0.0,2.540769365,0.012195,0.010815582
02/2017,CNH-R01-L03-A21/2016,CONSORCIO PETROLERO 5M DEL GOLFO,0.0,0.0,0.0,2.903591622,0.0,2.903591622,0.010162,0.008867868
02/2017,CNH-R01-L03-A25/2015,RENAISSANCE OIL CORP,0.200115992,0.200115992,0.0,0.945135864,0.945135864,0.0,0.023798,0.030999728
02/2017,CNH-R01-L03-A3/2015,CMM CALIBRADOR,0.0,0.0,0.0,3.401892778,0.0,3.401892778,0.004762,0.009438502
02/2017,CNH-R01-L03-A5/2015,CONSORCIO PETROLERO 5M DEL GOLFO,0.0,0.0,0.0,1.772928908,0.0,1.772928908,0.008864,0.010451596
02/2017,CNH-R01-L03-A7/2015,SERVICIOS DE EXTRACCIÓN PETROLERA LIFTING DE MÉXICO,0.644272997,0.644272997,0.0,1.04018073,1.04018073,0.0,0.013134,0.27877292
02/2017,CNH-R01-L03-A8/2015,DUNAS EXPLORACIÓN Y PRODUCCIÓN,0.0,0.0,0.0,1.314125818,0.0,1.314125818,0.020631,0.000541331
03/2017,CNH-R01-L03-A11/2015,RENAISSANCE OIL CORP,0.230782984,0.230782984,0.0,1.107474302,1.107474302,0.0,0.040655,1.382132825
03/2017,CNH-R01-L03-A12/2015,GRUPO MAREÓGRAFO,0.0,0.0,0.0,2.800978367,0.0,2.800978367,0.00252,0.00366655
03/2017,CNH-R01-L03-A15/2015,RENAISSANCE OIL CORP,0.19859674,0.19859674,0.0,3.670979596,3.670979596,0.0,0.094123,0.700602561
03/2017,CNH-R01-L03-A18/2015,CONSORCIO PETROLERO 5M DEL GOLFO,0.0,0.0,0.0,2.807608865,0.0,2.807608865,0.054181,0.015083758
03/2017,CNH-R01-L03-A2/2015,CONSORCIO PETROLERO 5M DEL GOLFO,0.0,0.0,0.0,10.672832974,0.0,10.672832974,0.077751,0.043070007
03/2017,CNH-R01-L03-A20/2016,GS OIL & GAS,0.0,0.0,0.0,2.289266559,0.0,2.289266559,0.010988,0.011633647
03/2017,CNH-R01-L03-A21/2016,CONSORCIO PETROLERO 5M DEL GOLFO,0.0,0.0,0.0,3.329974347,0.0,3.329974347,0.011654,0.010791572
03/2017,CNH-R01-L03-A25/2015,RENAISSANCE OIL CORP,0.200159317,0.200159317,0.0,0.933094848,0.933094848,0.0,0.023495,0.02576789
03/2017,CNH-R01-L03-A3/2015,CMM CALIBRADOR,0.0,0.0,0.0,3.076804271,0.0,3.076804271,0.004307,0.008928613
03/2017,CNH-R01-L03-A5/2015,CONSORCIO PETROLERO 5M DEL GOLFO,0.0,0.0,0.0,1.911089177,0.0,1.911089177,0.009555,0.01363214
03/2017,CNH-R01-L03-A7/2015,SERVICIOS DE EXTRACCIÓN PETROLERA LIFTING DE MÉXICO,0.794433422,0.794433422,0.0,1.714455068,1.714455068,0.0,0.021648,0.850746174
03/2017,CNH-R01-L03-A8/2015,DUNAS EXPLORACIÓN Y PRODUCCIÓN,0.0,0.0,0.0,1.564280447,0.0,1.564280447,0.024559,0.00062483
04/2017,CNH-R01-L03-A11/2015,RENAISSANCE OIL CORP,0.237227375,0.237227375,0.0,1.119235049,1.119235049,0.0,0.155551,1.36887014
04/2017,CNH-R01-L03-A12/2015,GRUPO MAREÓGRAFO,0.0,0.0,0.0,3.254232027,0.0,3.254232027,0.002928,0.004511824
