Órgão superior;Órgão subordinado;Unidade administrativa;Número do contrato;Número do ICJ;Número do processo;Enquadramento do Processo;Fornecedor;CNPJ/CPF;Objeto da contratação;Fundamento legal;Início da vigência;Fim da vigência;Valor do contrato;Saldo bruto do contrato;Saldo inativo;Situação;Número dos aditivos
MINISTÉRIO DE MINAS E ENERGIA;PETROBRAS;910816 - Petróleo Brasileiro S.A.;4600585920;5900.0110689.19.2;7001989063;CONVITE;HALLIBURTON PRODUTOS LTDA.;16328932000106;FORNECIMENTO DE PRODUTOS QUÍMICOS (SERVIÇOS DE FLUIDOS);Convite, Dec 2745, 3.1, C - Mínimo de 3 fornecedores, do ramo pertinente ao objeto, cadastrados ou não.;14/07/2019;12/07/2022;US$ 710.758,86;US$ 0,00;US$ 710.758,86;Concluído;002-003-004-005-008-006-007-009-010-011
MINISTÉRIO DE MINAS E ENERGIA;PETROBRAS;910816 - Petróleo Brasileiro S.A.;4600585921;5900.0110689.19.2;7001989063;CONVITE;HALLIBURTON PRODUTOS LTDA.;16328932000106;FORNECIMENTO DE PRODUTOS QUÍMICOS (SERVIÇOS DE FLUIDOS);Convite, Dec 2745, 3.1, C - Mínimo de 3 fornecedores, do ramo pertinente ao objeto, cadastrados ou não.;14/07/2019;12/07/2022;US$ 3.739.651,54;US$ 0,00;US$ 1.967.717,29;Concluído;002-005-008-006-007-004-003-009-010-011
MINISTÉRIO DE MINAS E ENERGIA;PETROBRAS;910816 - Petróleo Brasileiro S.A.;4600585922;5900.0110689.19.2;7001989063;CONVITE;HALLIBURTON PRODUTOS LTDA.;16328932000106;FORNECIMENTO DE PRODUTOS QUÍMICOS (SERVIÇOS DE FLUIDOS);Convite, Dec 2745, 3.1, C - Mínimo de 3 fornecedores, do ramo pertinente ao objeto, cadastrados ou não.;14/07/2019;12/07/2022;US$ 2.977.602,76;US$ 0,00;US$ 1.827.681,11;Concluído;002-005-006-007-008-004-003-009-010-011
MINISTÉRIO DE MINAS E ENERGIA;PETROBRAS;910816 - Petróleo Brasileiro S.A.;4600591275;5900.0110957.19.2;;INAPLICAV;HALLIBURTON ENERGY SERVICES INC.;EXTERNO;SISTEMA ALTERNATIVO DE REMOÇÃO DE ROCHAS;Inaplicável, Dec 2745, 10.1 - Complemento ao regulamento por ato interno da Diretoria Executiva.;16/09/2019;13/03/2023;US$ 5.232.139,48;US$ 0,00;US$ 0,00;Concluído;001
MINISTÉRIO DE MINAS E ENERGIA;PETROBRAS;910816 - Petróleo Brasileiro S.A.;4600594219;5900.0111829.19.2;7002243614;LICITAÇÃO;HALLIBURTON PRODUTOS LTDA.;16328932000106;SERVIÇOS TÉCNICOS ESPECIALIZADOS E OPERAÇÃO DE EQUIPAMENTOS REFERENTES A SISTEMAS DE PERFURAÇÃO CONVENCIONAL;Licitação, Lei 13.303, Art. 28, CAPUT;01/11/2019;23/05/2023;R$ 42.640.749,59;R$ 0,00;R$ 20.727.281,77;Concluído;001-002-003-004
MINISTÉRIO DE MINAS E ENERGIA;PETROBRAS;910816 - Petróleo Brasileiro S.A.;4600599712;5900.0113460.19.2;7002562519;LICITAÇÃO;HALLIBURTON PRODUTOS LTDA.;16328932000106;PERFILAGEM A POÇO ABERTO E REVESTIDO, CANHONEIO E CORRELATOS EM POÇOS DE PETRÓLEO, UTILIZANDO TECNOLOGIA CONVENCIONAL;Licitação, Lei 13.303, Art. 28, CAPUT;02/12/2019;09/11/2024;R$ 216.383.687,15;R$ 0,00;R$ 21.115.081,01;Concluído;800-002-001-006-853-854-005-003-004
MINISTÉRIO DE MINAS E ENERGIA;PETROBRAS;910816 - Petróleo Brasileiro S.A.;4600602732;5900.0114092.20.2;7002851436;LICITAÇÃO;HALLIBURTON PRODUTOS LTDA.;16328932000106;SERVIÇOS DE MPD (MANAGED PRESSURE DRILLING) GERENCIAMENTO DE PRESSÕES DE POÇOS NA SUPERFÍCIE;Licitação, Lei 13.303, Art. 28, CAPUT;23/02/2020;15/08/2022;R$ 57.132.574,07;R$ 0,00;R$ 5.460.074,04;Concluído;001-004-850-002-005
MINISTÉRIO DE MINAS E ENERGIA;PETROBRAS;910816 - Petróleo Brasileiro S.A.;4600606112;5900.0113460.19.2;7002562519;LICITAÇÃO;HALLIBURTON PRODUTOS LTDA.;16328932000106;PERFILAGEM A POÇO ABERTO E REVESTIDO, CANHONEIO E CORRELATOS EM POÇOS DE PETRÓLEO, UTILIZANDO TECNOLOGIA CONVENCIONAL;Licitação, Lei 13.303, Art. 28, CAPUT;02/12/2019;09/11/2024;R$ 8.852.168,80;R$ 0,00;R$ 4.121.230,39;Concluído;001-002-003-004-005-006-950
MINISTÉRIO DE MINAS E ENERGIA;PETROBRAS;910816 - Petróleo Brasileiro S.A.;4600607313;5900.0114187.20.2;7002641396;INEXIGIBIL;HALLIBURTON PRODUTOS LTDA.;16328932000106;SUPORTE TÉCNICO ESPECIALIZADO NO USO DE TECNOLOGIAS E SISTEMAS DE INTERPRETAÇÃO GEOLÓGICA, GEOFÍSICA E DE ENGENHARIA DE RESERVATÓRIO;Inexigibilidade, Lei 13.303, Art.30, CAPUT - Inviabilidade de competição;14/02/2020;10/02/2025;R$ 33.172.052,45;R$ 0,00;R$ 6.316.996,13;Concluído;001-002-003
MINISTÉRIO DE MINAS E ENERGIA;PETROBRAS;910816 - Petróleo Brasileiro S.A.;4600612257;5900.0115011.20.2;7002852197;LICITAÇÃO;HALLIBURTON PRODUTOS LTDA.;16328932000106;SERV.TÉC.ESP.BOMB.PRESSUR.DE FLUÍDOS DIVERSOS, ATRAVÉS DE EQUIP. DOSADORES.;Licitação, Lei 13.303, Art. 28, CAPUT;29/05/2020;28/05/2022;R$ 41.118.493,50;R$ 0,00;R$ 12.406.752,67;Concluído;001-002-003-004
