COMISIÓN NACIONAL DE HIDROCARBUROS,,,,,,,,,
PRODUCCION POR ENTIDAD FEDERATIVA,,,,,,,,,
"Datos de producción mensual de aceite, gas, condensado y agua por entidad federativa.",,,,,,,,,
Datos a enero - 2025.,,,,,,,,,
Notas: Las unidades corresponden a Miles de barriles diarios (Mbd) y Millones de pies cúbicos diarios (MMpcd),,,,,,,,,
Este reporte se emite con fines ilustrativos y no puede considerarse como información oficial para la determinación del monto de participaciones en los ingresos petroleros que corresponden a los estados.,,,,,,,,,
"A partir de 2016 se contabiliza la producción de petróleo a una temperatura de 15.56 grados Celsius, de conformidad con lo establecido en los Lineamientos Técnicos en Materia de Medición de Hidrocarburos.",,,,,,,,,
Hidrocarburos líquidos: Se refiere a la suma de petróleo y condensado.,,,,,,,,,
Las cifras están sujetas a revisión.,,,,,,,,,
,,,,,,,,,
FECHA,ENTIDAD_FEDERATIVA,HIDROCARBUROS_LIQUIDOS_MBD,PETROLEO_MBD,CONDENSADO_MBD,GAS_MMPCD,GAS_ASOC_MMPCD,GAS_NASOC_MMPCD,N2_MMPCD,AGUA_MBD
03/2001,TAMAULIPAS,26.12713,23.67999,2.4471399999999996,590.38005,35.72304,554.65701,,31.631359999999997
03/2001,VERACRUZ DE IGNACIO DE LA LLAVE,61.55089,60.4736,1.0772899999999999,223.42666,76.41878,147.00787,,58.40148
04/2001,CAMPECHE,2415.76836,2415.76836,0.0,1511.99337,1511.39337,0.6,,35.50739
04/2001,CHIAPAS,48.5474,48.5474,0.0,599.05027,599.05027,0.0,,14.56183
04/2001,COAHUILA DE ZARAGOZA,0.0,0.0,0.0,9.87218,0.0,9.87218,,0.44093
04/2001,NUEVO LEÓN,0.9636699999999999,0.0,0.9636699999999999,429.70492,0.0,429.70492,,4.9984399999999996
04/2001,PUEBLA,2.75283,2.75283,0.0,9.54533,9.54533,0.0,,0.27386
04/2001,SAN LUIS POTOSÍ,0.59114,0.59114,0.0,0.22854,0.22854,0.0,,0.15073
04/2001,TABASCO,454.58844,453.70444000000003,0.884,1138.88464,990.6047,148.27994,,56.6758
04/2001,TAMAULIPAS,26.25761,23.61891,2.6387,591.77344,33.38154,558.3919,,31.587120000000002
04/2001,VERACRUZ DE IGNACIO DE LA LLAVE,62.05712,61.00188,1.05524,222.11197,77.22547,144.88649,,58.27215
05/2001,CAMPECHE,2444.2242,2444.2242,0.0,1502.94134,1502.34456,0.59678,,34.78929
05/2001,CHIAPAS,48.39945,48.39945,0.0,598.49129,598.49129,0.0,,13.44195
05/2001,COAHUILA DE ZARAGOZA,0.0,0.0,0.0,9.89428,0.0,9.89428,,0.42558
05/2001,NUEVO LEÓN,0.94453,0.0,0.94453,423.05275,0.0,423.05275,,5.029100000000001
05/2001,PUEBLA,2.76385,2.76385,0.0,10.02011,10.02011,0.0,,0.26973
05/2001,SAN LUIS POTOSÍ,0.61199,0.61199,0.0,0.29796,0.29796,0.0,,0.16755
05/2001,TABASCO,450.079,448.96325,1.11575,1114.77501,969.8044199999999,144.97059,,55.49224
05/2001,TAMAULIPAS,26.673939999999998,23.60711,3.06683,598.92675,33.637209999999996,565.28954,,31.89875
