COMISIÓN NACIONAL DE HIDROCARBUROS,,,,,,,,,,
PRODUCCION POR OPERADOR,,,,,,,,,,
Producción mensual por operador,,,,,,,,,,
Datos a enero - 2025.,,,,,,,,,,
Notas: Volumen de producción asignado únicamente a la empresa operadora de cada Asignación o Contrato.,,,,,,,,,,
Hidrocarburos líquidos: Se refiere a la suma de petróleo y condensado.,,,,,,,,,,
Las unidades corresponden a Miles de barriles diarios (Mbd) y Millones de pies cúbicos diarios (MMpcd).,,,,,,,,,,
,,,,,,,,,,
FECHA,ASIG_CONT,OPERADOR,HIDROCARBUROS_LIQUIDOS_MBD,PETROLEO_MBD,CONDENSADO_MBD,GAS_MMPCD,GAS_ASOC_MMPCD,GAS_NASOC_MMPCD,N2_MMPCD,AGUA_MBD
11/2016,CNH-R01-L03-A18/2015,STRATA,0.0,0.0,0.0,2.935848727969351,0.0,2.935848727969351,0.026716,0.01764114756404
11/2016,CNH-R01-L03-A2/2015,CONSORCIO PETROLERO 5M DEL GOLFO,0.0,0.0,0.0,10.46025336044163,0.0,10.46025336044163,0.035059,0.0425108094103
11/2016,CNH-R01-L03-A20/2016,GS OIL & GAS,0.0,0.0,0.0,2.1693601082283314,0.0,2.1693601082283314,0.004122,0.01461430459412
11/2016,CNH-R01-L03-A21/2016,STRATA,0.0,0.0,0.0,1.2916172582222212,0.0,1.2916172582222212,0.004521,0.0040612179817
11/2016,CNH-R01-L03-A25/2015,RENAISSANCE OIL CORP,0.1913966002416779,0.1913966002416779,0.0,1.04406772716992,1.04406772716992,0.0,0.019263,0.02453021999999999
11/2016,CNH-R01-L03-A3/2015,CMM CALIBRADOR,0.0,0.0,0.0,2.551567996013342,0.0,2.551567996013342,0.003827,0.00674538153564
11/2016,CNH-R01-L03-A5/2015,STRATA,0.0,0.0,0.0,1.4620982575074106,0.0,1.4620982575074106,0.003948,0.01486805609212
11/2016,CNH-R01-L03-A7/2015,SERVICIOS DE EXTRACCIÓN PETROLERA LIFTING DE MÉXICO,0.7312994594201506,0.7312994594201506,0.0,1.0781572030357989,1.0781572030357989,0.0,0.01058,0.47999559854884
11/2016,CNH-R01-L03-A8/2015,DUNAS EXPLORACIÓN Y PRODUCCIÓN,0.0,0.0,0.0,1.0359699550589465,0.0,1.0359699550589465,0.001658,0.00048498006084
12/2016,ASIGNACIONES,PEMEX EXPLORACIÓN Y PRODUCCIÓN,2033.6920740654266,2028.478644195017,5.2134298704094695,5298.768004867548,4244.063709920375,1054.704294947174,926.1847400000001,481.4620411798445
12/2016,CNH-R01-L03-A11/2015,RENAISSANCE OIL CORP,0.2261480079032632,0.2261480079032632,0.0,1.5642190553541144,1.5642190553541144,0.0,0.057422,1.4712045096774193
12/2016,CNH-R01-L03-A12/2015,GRUPO MAREÓGRAFO,0.0,0.0,0.0,3.0675647963127703,0.0,3.0675647963127703,0.004295,0.00396222745230968
12/2016,CNH-R01-L03-A15/2015,RENAISSANCE OIL CORP,0.18268274670501952,0.18268274670501952,0.0,3.7819061286491182,3.7819061286491182,0.0,0.233722,0.7286023161290321
12/2016,CNH-R01-L03-A18/2015,STRATA,0.0,0.0,0.0,3.049900295624114,0.0,3.049900295624114,0.02754,0.01843938585209032
12/2016,CNH-R01-L03-A2/2015,CONSORCIO PETROLERO 5M DEL GOLFO,0.0,0.0,0.0,11.23227876431509,0.0,11.23227876431509,0.037625,0.04907496152502581
12/2016,CNH-R01-L03-A20/2016,GS OIL & GAS,0.0,0.0,0.0,2.2853252833780417,0.0,2.2853252833780417,0.004342,0.01021458325842581
12/2016,CNH-R01-L03-A21/2016,STRATA,0.0,0.0,0.0,1.681497788354622,0.0,1.681497788354622,0.005885,0.0052687327374
12/2016,CNH-R01-L03-A25/2015,RENAISSANCE OIL CORP,0.1817849805788862,0.1817849805788862,0.0,0.7953885718856597,0.7953885718856597,0.0,0.014675,0.0373330064516129
12/2016,CNH-R01-L03-A3/2015,CMM CALIBRADOR,0.0,0.0,0.0,3.0659032449936277,0.0,3.0659032449936277,0.004599,0.00868776169949032
12/2016,CNH-R01-L03-A5/2015,STRATA,0.0,0.0,0.0,1.490009888860189,0.0,1.490009888860189,0.004023,0.01460416833118065
12/2016,CNH-R01-L03-A7/2015,SERVICIOS DE EXTRACCIÓN PETROLERA LIFTING DE MÉXICO,0.6310201253154627,0.6310201253154627,0.0,1.0364220854989292,1.0364220854989292,0.0,0.01017,0.2913056340709935
12/2016,CNH-R01-L03-A8/2015,DUNAS EXPLORACIÓN Y PRODUCCIÓN,0.0,0.0,0.0,1.1685159763266453,0.0,1.1685159763266453,0.00187,0.00052663217150323
01/2017,ASIGNACIONES,PEMEX EXPLORACIÓN Y PRODUCCIÓN,2018.2423588117256,2013.0551356646909,5.187223147034935,5244.7906415287525,4208.720788025046,1036.0698535037068,955.9588309999997,496.31374814031307
01/2017,CNH-R01-L03-A11/2015,RENAISSANCE OIL CORP,0.22554171297590864,0.22554171297590864,0.0,1.481395700129535,1.481395700129535,0.0,0.054382,1.4718132
01/2017,CNH-R01-L03-A12/2015,GRUPO MAREÓGRAFO,0.0,0.0,0.0,2.8355388591312485,0.0,2.8355388591312485,0.00397,0.00357869878143871
01/2017,CNH-R01-L03-A15/2015,RENAISSANCE OIL CORP,0.17615224020201822,0.17615224020201822,0.0,3.8016032825905843,3.8016032825905843,0.0,0.234939,0.6584000322580644
01/2017,CNH-R01-L03-A18/2015,STRATA,0.0,0.0,0.0,3.0989637407886943,0.0,3.0989637407886943,0.027963,0.01807094255638065
01/2017,CNH-R01-L03-A2/2015,CONSORCIO PETROLERO 5M DEL GOLFO,0.0,0.0,0.0,11.000023957134173,0.0,11.000023957134173,0.037724,0.04347926794029677
01/2017,CNH-R01-L03-A20/2016,GS OIL & GAS,0.0,0.0,0.0,2.4392201635599635,0.0,2.4392201635599635,0.004635,0.01064080952645806
01/2017,CNH-R01-L03-A21/2016,STRATA,0.0,0.0,0.0,2.300002133045174,0.0,2.300002133045174,0.00805,0.00649985152314194
01/2017,CNH-R01-L03-A25/2015,RENAISSANCE OIL CORP,0.19695057962606805,0.19695057962606805,0.0,0.9541412952166672,0.9541412952166672,0.0,0.017604,0.03226058709677419
01/2017,CNH-R01-L03-A3/2015,CMM CALIBRADOR,0.0,0.0,0.0,3.524455507900604,0.0,3.524455507900604,0.005287,0.00965687277932903
01/2017,CNH-R01-L03-A5/2015,STRATA,0.0,0.0,0.0,1.4859463244591529,0.0,1.4859463244591529,0.004012,0.01415502791595484
01/2017,CNH-R01-L03-A7/2015,SERVICIOS DE EXTRACCIÓN PETROLERA LIFTING DE MÉXICO,0.6089353040149391,0.6089353040149391,0.0,1.0785049956819395,1.0785049956819395,0.0,0.010583,0.5340243098803161
01/2017,CNH-R01-L03-A8/2015,DUNAS EXPLORACIÓN Y PRODUCCIÓN,0.0,0.0,0.0,1.275079643104119,0.0,1.275079643104119,0.00204,0.00051807033342581
02/2017,ASIGNACIONES,PEMEX EXPLORACIÓN Y PRODUCCIÓN,2014.0599189101333,2009.2210456621576,4.8388732479757035,5218.559554335755,4203.388296991682,1015.1712573440705,961.3769199999999,495.74055479222386
02/2017,CNH-R01-L03-A11/2015,RENAISSANCE OIL CORP,0.2255287304396681,0.2255287304396681,0.0,1.2532145903685352,1.2532145903685352,0.0,0.045391,1.4718132
02/2017,CNH-R01-L03-A12/2015,GRUPO MAREÓGRAFO,0.0,0.0,0.0,2.801351763586005,0.0,2.801351763586005,0.002521,0.00343783530467143
02/2017,CNH-R01-L03-A15/2015,RENAISSANCE OIL CORP,0.1887817742133223,0.1887817742133223,0.0,3.889732572053091,3.889732572053091,0.0,0.175894,0.6835664785714286
02/2017,CNH-R01-L03-A18/2015,STRATA,0.0,0.0,0.0,2.97672868963558,0.0,2.97672868963558,0.057427,0.01540018578167143
02/2017,CNH-R01-L03-A2/2015,CONSORCIO PETROLERO 5M DEL GOLFO,0.0,0.0,0.0,10.377907737731519,0.0,10.377907737731519,0.075722,0.03656044775224286
02/2017,CNH-R01-L03-A20/2016,GS OIL & GAS,0.0,0.0,0.0,2.540769365581769,0.0,2.540769365581769,0.012196,0.01081558223530714
02/2017,CNH-R01-L03-A21/2016,STRATA,0.0,0.0,0.0,2.9035916225019958,0.0,2.9035916225019958,0.010163,0.00886786839062143
02/2017,CNH-R01-L03-A25/2015,RENAISSANCE OIL CORP,0.200115992942202,0.200115992942202,0.0,0.9451358640565086,0.9451358640565086,0.0,0.023799,0.03099972857142857
02/2017,CNH-R01-L03-A3/2015,CMM CALIBRADOR,0.0,0.0,0.0,3.401892778376505,0.0,3.401892778376505,0.004763,0.00943850285800714
02/2017,CNH-R01-L03-A5/2015,STRATA,0.0,0.0,0.0,1.7729289089483093,0.0,1.7729289089483093,0.008865,0.01045159690056429
