COMISIÓN NACIONAL DE HIDROCARBUROS,,,,,,,,,,
PRODUCCION POR UBICACIÓN,,,,,,,,,,
Datos de producción mensual cuenca y ubicación.,,,,,,,,,,
Datos a enero - 2025.,,,,,,,,,,
Notas: Las unidades corresponden a Miles de barriles diarios (Mbd) y Millones de pies cúbicos diarios (MMpcd).,,,,,,,,,,
La serie de nitrógeno se comienza a reportar a partir de 2016.,,,,,,,,,,
"A partir de 2016 se contabiliza la producción de petróleo a una temperatura de 15.56 grados Celsius, de conformidad",,,,,,,,,,
Hidrocarburos líquidos: Se refiere a la suma de petróleo y condensado.,,,,,,,,,,
con lo establecido en los Lineamientos Técnicos en Materia de Medición de Hidrocarburos.,,,,,,,,,,
,,,,,,,,,,
FECHA,CUENCA,UBICACION,HIDROCARBUROS_LIQUIDOS_MBD,PETROLEO_MBD,CONDENSADO_MBD,GAS_MMPCD,GAS_ASOCIADO_MMPCD,GAS_NO_ASOCIADO_MMPCD,NITROGENO_MMPCD,AGUA_MBD
03/2009,Burgos,Terrestre,0.0,0.0,0.0,1316.177649,0.0,1316.177649,0.0,0.0
02/2009,Burgos,Terrestre,0.0,0.0,0.0,1286.444361,0.0,1286.444361,0.0,0.0
01/2009,Burgos,Terrestre,0.0,0.0,0.0,1286.010722,0.0,1286.010722,0.0,0.0
12/2008,Burgos,Terrestre,0.0,0.0,0.0,1287.662737,0.0,1287.662737,0.0,0.0
11/2008,Burgos,Terrestre,0.0,0.0,0.0,1295.207641,0.0,1295.207641,0.0,0.0
10/2008,Burgos,Terrestre,0.0,0.0,0.0,1296.537905,0.0,1296.537905,0.0,0.0
09/2008,Burgos,Terrestre,0.0,0.0,0.0,1285.806265,0.0,1285.806265,0.0,0.0
08/2008,Burgos,Terrestre,0.0,0.0,0.0,1306.046507,0.0,1306.046507,0.0,0.0
07/2008,Burgos,Terrestre,0.0,0.0,0.0,1311.65467,0.0,1311.65467,0.0,0.0
06/2008,Burgos,Terrestre,0.0,0.0,0.0,1326.735135,0.0,1326.735135,0.0,0.0
05/2008,Burgos,Terrestre,0.0,0.0,0.0,1336.920422,0.0,1336.920422,0.0,0.0
04/2008,Burgos,Terrestre,0.0,0.0,0.0,1363.350329,0.0,1363.350329,0.0,0.0
03/2008,Burgos,Terrestre,0.0,0.0,0.0,1349.087828,0.0,1349.087828,0.0,0.0
02/2008,Burgos,Terrestre,0.0,0.0,0.0,1348.312974,0.0,1348.312974,0.0,0.0
01/2008,Burgos,Terrestre,0.0,0.0,0.0,1349.625395,0.0,1349.625395,0.0,0.0
12/2007,Burgos,Terrestre,0.0,0.0,0.0,1355.085175,0.0,1355.085175,0.0,0.0
11/2007,Burgos,Terrestre,0.0,0.0,0.0,1386.302937,0.0,1386.302937,0.0,0.0
10/2007,Burgos,Terrestre,0.0,0.0,0.0,1386.502571,0.0,1386.502571,0.0,0.0
09/2007,Burgos,Terrestre,0.0,0.0,0.0,1391.69846,0.0,1391.69846,0.0,0.0
08/2007,Burgos,Terrestre,0.0,0.0,0.0,1392.912181,0.0,1392.912181,0.0,0.0
07/2007,Burgos,Terrestre,0.0,0.0,0.0,1386.428082,0.0,1386.428082,0.0,0.0
