Numero;Tipo_de_incidente;DSC_GRAVIDADE_TIPO;DSC_QUASE_ACIDENTE_ACIDENTE
1309/000132;SSO - Descarga maior de fluido de perfuração, completação ou intervenção em poços;;
1309/000133;SSO - Aprisionamento de coluna;;
1309/000133;SSO - Quase acidente de alto potencial;;
1309/000134;Reclassificação;;
1309/000135;SSO - Quase acidente de alto potencial;;
1309/000136;SSO - Quase acidente de alto potencial;;
1309/000137;SSO - Quase acidente de alto potencial;;
1309/000138;SSO - Queda de objetos;;
1309/000139;SSO - Queda de objetos;;
1309/000140;SSO - Princípio de incêndio;;
1309/000140;SSO - Quase acidente de alto potencial;;
1309/000141;SSO - Ferimento grave;;
1309/000142;SSO - Descarga significante de fluido de perfuração, completação ou intervenção em poços;;
1309/000143;SSO - Queda de objetos;;
1309/000144;SSO - Princípio de incêndio;;
1309/000144;SSO - Queda de objetos;;
1309/000145;SSO - Queda de objetos;;
1309/000146;SSO - Princípio de incêndio;;
1309/000147;SSO - Quase acidente de alto potencial;;
1309/000147;SSO - Queda de objetos;;
1309/000148;SSO - Princípio de incêndio;;
1309/000149;SSO - Princípio de incêndio;;
1309/000150;SSO - Quase acidente de alto potencial;;
1309/000151;SSO - Quase acidente de alto potencial;;
1309/000152;SSO - Queda de objetos;;
1309/000153;SSO - Quase acidente de alto potencial;;
1309/000154;SSO - Ferimento grave;;
1309/000155;SSO - Quase acidente de alto potencial;;
1309/000155;SSO - Queda de objetos;;
1309/000156;SSO - Queda de objetos;;
1309/000157;SSO - Quase acidente de alto potencial;;
1309/000158;SSO - Descarga significante de fluido de perfuração, completação ou intervenção em poços;;
1309/000159;SSO - Queda de objetos;;
1309/000160;SSO - Descarga significante de óleo;;
1309/000160;SSO - Perda de contenção primária significante de óleo;;
1309/000161;SSO - Ferimento grave;;
1309/000162;SSO - Descarga menor de óleo;;
1309/000163;SSO - Queda de objetos;;
1309/000164;SSO - Quase acidente de alto potencial;;
1309/000164;SSO - Queda de objetos;;
1309/000165;SSO - Quase acidente de alto potencial;;
1309/000165;SSO - Queda de objetos;;
1309/000166;SSO - Quase acidente de alto potencial;;
1309/000166;SSO - Queda de objetos;;
1309/000167;SSO - Queda de objetos;;
1309/000168;SSO - Queda de objetos;;
