COMISIÓN NACIONAL DE HIDROCARBUROS,,,,,,,,,,,,
PRODUCCION POR ASIGNACION,,,,,,,,,,,,
Produccion mensual,,,,,,,,,,,,
Datos a enero - 2025.,,,,,,,,,,,,
Notas: Las unidades corresponden a Miles de barriles diarios (Mbd) y Millones de pies cúbicos diarios (MMpcd).,,,,,,,,,,,,
El nombre de la asignación corresponde a la última.,,,,,,,,,,,,
"A partir de 2016 se contabiliza la producción de petróleo a una temperatura de 15.56 grados Celsius, de conformidad",,,,,,,,,,,,
con lo establecido en los Lineamientos Técnicos en Materia de Medición de Hidrocarburos.,,,,,,,,,,,,
Hidrocarburos líquidos: Se refiere a la suma de petróleo y condensado.,,,,,,,,,,,,
Para información geográfica de las asignaciones visite https://mapa.hidrocarburos.gob.mx,,,,,,,,,,,,
,,,,,,,,,,,,
FECHA,ASIGNACION,NOMBRE,UBICACION,CUENCA,HIDROCARBUROS_LIQUIDOS_MBD,PETROLEO_MBD,CONDENSADO_MBD,GAS_MMPCD,GAS_ASOC_MMPCD,GAS_NASOC_MMPCD,NITROGENO_MMPCD,AGUA_MBD
01/2016,AR-0504,AR-0504-M - Campo Bonanza,Terrestre,Burgos,0.0,0.0,0.0,1.14478642,0.0,1.14478642,0.001104,0.000793879
01/2016,AR-0505,AR-0505-M - Campo Caravana,Terrestre,Burgos,0.0,0.0,0.0,0.714778958,0.0,0.714778958,0.000857,0.0
01/2016,AR-0506,AR-0506-M - Campo Rosal,Terrestre,Burgos,0.0,0.0,0.0,0.997901245,0.0,0.997901245,0.000898,0.001158719
01/2016,AR-0507,AR-0507-2M - Campo Explorador,Terrestre,Burgos,0.0,0.0,0.0,0.214428751,0.0,0.214428751,0.00015,0.0
01/2016,AR-0508,AR-0508-M - Campo Azor,Terrestre,Burgos,0.0,0.0,0.0,1.883673019,0.0,1.883673019,0.003955,0.002433909
01/2016,AR-0509,AR-0509-M - Campo Oveja,Terrestre,Burgos,0.0,0.0,0.0,0.976845205,0.0,0.976845205,0.001074,0.00102526
01/2016,AR-0510,AR-0510-M - Campo Reno,Terrestre,Burgos,0.0,0.0,0.0,1.028235495,0.0,1.028235495,0.001439,0.001781716
01/2016,AR-0511,AR-0511-M - Campo Huatempo,Terrestre,Burgos,0.0,0.0,0.0,0.505937328,0.0,0.505937328,0.000505,0.001117805
01/2016,AR-0512,AR-0512-M - Campo Azúcar,Terrestre,Burgos,0.0,0.0,0.0,0.071994199,0.0,0.071994199,0.0,0.0
01/2016,AR-0513,AR-0513-2M - Campo Paleoarcos,Terrestre,Burgos,0.0,0.0,0.0,1.579816681,0.0,1.579816681,0.001263,0.001884188
01/2016,AR-0514,AR-0514-M - Campo Gigante,Terrestre,Burgos,0.0,0.0,0.0,0.520047612,0.0,0.520047612,0.000572,0.0
01/2016,AR-0515,AR-0515-M - Campo Valioso,Terrestre,Burgos,0.0,0.0,0.0,0.056562303,0.0,0.056562303,2.8e-05,0.000268558
01/2016,AR-0516,AR-0516-M - Campo Vigilante,Terrestre,Burgos,0.0,0.0,0.0,0.241334439,0.0,0.241334439,0.000217,0.001753778
01/2016,AR-0517,AR-0517-M - Campo Antiguo,Terrestre,Burgos,0.0,0.0,0.0,1.530053163,0.0,1.530053163,0.001071,0.0
01/2016,AR-0518,AR-0518-M - Campo Grande,Terrestre,Burgos,0.0,0.0,0.0,1.427546329,0.0,1.427546329,0.002141,0.0
01/2016,AR-0519,AR-0519-M - Campo Filadelfia,Terrestre,Burgos,0.0,0.0,0.0,0.640356942,0.0,0.640356942,0.000832,7.04e-05
01/2016,AR-0520,AR-0520-M - Campo Socavón,Terrestre,Burgos,0.0,0.0,0.0,0.257253245,0.0,0.257253245,0.000231,0.0
01/2016,AR-0521,AR-0521-M - Campo Axón,Terrestre,Burgos,0.0,0.0,0.0,0.923824777,0.0,0.923824777,0.003325,0.016814575
01/2016,A-0075,A-0075-M - Campo Cerro Nanchital,Terrestre,Cinturon Plegado de Chiapas,0.582715771,0.582715771,0.0,0.069558529,0.069558529,0.0,0.001881,0.6164004
01/2016,A-0001,A-0001-4M - Campo Abkatún,Aguas someras,Cuencas del Sureste,8.185831919,8.185831919,0.0,13.271245687,13.271245687,0.0,0.073695,3.960595756
01/2016,A-0008,A-0008-M - Campo Akal,Aguas someras,Cuencas del Sureste,80.170864694,80.170864694,0.0,1063.177233987,1063.177233987,0.0,579.112639,77.417748385
01/2016,A-0032,A-0032-M - Campo Ayatsil,Aguas someras,Cuencas del Sureste,9.870174863,9.870174863,0.0,1.110930164,1.110930164,0.0,0.031772,0.138483541
01/2016,A-0035,A-0035-M - Campo Bacab,Aguas someras,Cuencas del Sureste,9.22614989,9.22614989,0.0,1.575742403,1.575742403,0.0,0.023163,1.897677499
01/2016,A-0039,A-0039-M - Campo Balam,Aguas someras,Cuencas del Sureste,19.650571111,19.650571111,0.0,5.374647701,5.374647701,0.0,0.206396,3.315954837
01/2016,A-0042,A-0042-M - Campo Batab,Aguas someras,Cuencas del Sureste,0.757762095,0.757762095,0.0,0.466950894,0.466950894,0.0,0.002377,0.482518962
01/2016,A-0049,A-0049-2M - Campo Bolontikú,Aguas someras,Cuencas del Sureste,19.130457949,19.130457949,0.0,51.694834228,51.694834228,0.0,0.169817,3.513969232
01/2016,A-0053,A-0053-M - Campo Caan,Aguas someras,Cuencas del Sureste,10.136739939,10.136739939,0.0,43.164627211,43.164627211,0.0,0.265073,8.805013919
01/2016,A-0078,A-0078-M - Campo Chac,Aguas someras,Cuencas del Sureste,11.249452963,11.249452963,0.0,4.654158541,4.654158541,0.0,3.982098,14.599141934
01/2016,A-0089,A-0089-2M - Campo Chuc,Aguas someras,Cuencas del Sureste,31.180657072,31.180657072,0.0,35.28876401,35.28876401,0.0,0.372261,10.279341007
01/2016,A-0090,A-0090-M - Campo Chuhuk,Aguas someras,Cuencas del Sureste,40.242379221,40.242379221,0.0,51.789975711,51.789975711,0.0,0.163138,5.47130021
01/2016,A-0120,A-0120-M - Campo Ek,Aguas someras,Cuencas del Sureste,26.78238881,26.78238881,0.0,1.655927369,1.655927369,0.0,0.123201,36.640564515
01/2016,A-0151,A-0151-2M - Campo Homol,Aguas someras,Cuencas del Sureste,53.224025611,53.224025611,0.0,63.128331231,63.128331231,0.0,0.409071,1.773177808
01/2016,A-0160,A-0160-2M - Campo Ixtal,Aguas someras,Cuencas del Sureste,44.827787827,44.827787827,0.0,85.563434091,85.563434091,0.0,0.670817,5.716354876
01/2016,A-0161,A-0161-2M - Campo Ixtoc,Aguas someras,Cuencas del Sureste,17.370283562,17.370283562,0.0,11.566934166,11.566934166,0.0,0.558682,16.015480645
01/2016,A-0170,A-0170-M - Campo Kab,Aguas someras,Cuencas del Sureste,10.711561769,10.711561769,0.0,14.433609099,14.433609099,0.0,0.072528,0.004057935
01/2016,A-0172,A-0172-M - Campo Kambesah,Aguas someras,Cuencas del Sureste,30.447188472,30.447188472,0.0,13.895347734,13.895347734,0.0,0.905163,1.031
01/2016,A-0174,A-0174-M - Campo Kanaab,Aguas someras,Cuencas del Sureste,4.366778168,4.366778168,0.0,4.859337535,4.859337535,0.0,0.046197,1.604895221
01/2016,A-0176,A-0176-M - Campo Kax,Aguas someras,Cuencas del Sureste,13.274074194,13.274074194,0.0,24.972023584,24.972023584,0.0,0.303659,0.0
01/2016,A-0183,A-0183-3M - Campo Ku,Aguas someras,Cuencas del Sureste,173.507521157,173.507521157,0.0,221.932517709,221.932517709,0.0,46.983114,12.939386705
