COMISIÓN NACIONAL DE HIDROCARBUROS,,,,,
POZOS TERMINADOS,,,,,
,,,,,
Datos a diciembre - 2024.,,,,,
,,,,,
FECHA,CUENCA,CATEGORIA_POZO,UBICACION,OPERADOR,POZOS_TERMINADOS
05/2004,Cuencas del Sureste,Desarrollo,Terrestre,Pemex Exploración y Producción,8
05/2004,Cuencas del Sureste,Exploración,Aguas someras,Pemex Exploración y Producción,1
05/2004,Cuencas del Sureste,Exploración,Terrestre,Pemex Exploración y Producción,1
05/2004,Tampico-Misantla,Desarrollo,Aguas someras,Pemex Exploración y Producción,1
05/2004,Tampico-Misantla,Desarrollo,Terrestre,Pemex Exploración y Producción,7
05/2004,Tampico-Misantla,Exploración,Aguas someras,Pemex Exploración y Producción,1
05/2004,Veracruz,Desarrollo,Terrestre,Pemex Exploración y Producción,4
05/2004,Veracruz,Exploración,Terrestre,Pemex Exploración y Producción,3
06/2004,Burgos,Desarrollo,Terrestre,Pemex Exploración y Producción,31
06/2004,Burgos,Exploración,Terrestre,Pemex Exploración y Producción,5
06/2004,Cuencas del Sureste,Desarrollo,Aguas someras,Pemex Exploración y Producción,2
06/2004,Cuencas del Sureste,Desarrollo,Terrestre,Pemex Exploración y Producción,4
06/2004,Cuencas del Sureste,Exploración,Aguas someras,Pemex Exploración y Producción,2
06/2004,Cuencas del Sureste,Exploración,Terrestre,Pemex Exploración y Producción,1
06/2004,Tampico-Misantla,Desarrollo,Aguas someras,Pemex Exploración y Producción,2
06/2004,Tampico-Misantla,Desarrollo,Terrestre,Pemex Exploración y Producción,7
06/2004,Tampico-Misantla,Exploración,Aguas someras,Pemex Exploración y Producción,1
06/2004,Veracruz,Desarrollo,Terrestre,Pemex Exploración y Producción,4
07/2004,Burgos,Desarrollo,Terrestre,Pemex Exploración y Producción,33
07/2004,Burgos,Exploración,Terrestre,Pemex Exploración y Producción,1
07/2004,Cuencas del Sureste,Desarrollo,Aguas someras,Pemex Exploración y Producción,3
07/2004,Cuencas del Sureste,Desarrollo,Terrestre,Pemex Exploración y Producción,7
07/2004,Cuencas del Sureste,Exploración,Aguas someras,Pemex Exploración y Producción,3
07/2004,Cuencas del Sureste,Exploración,Aguas someras,Pemex Exploración y Producción,1
07/2004,Sabinas-Burro-Picachos,Exploración,Terrestre,Pemex Exploración y Producción,1
07/2004,Tampico-Misantla,Desarrollo,Terrestre,Pemex Exploración y Producción,7
07/2004,Tampico-Misantla,Exploración,Aguas someras,Pemex Exploración y Producción,1
07/2004,Veracruz,Desarrollo,Terrestre,Pemex Exploración y Producción,5
07/2004,Veracruz,Exploración,Terrestre,Pemex Exploración y Producción,3
08/2004,Burgos,Desarrollo,Terrestre,Pemex Exploración y Producción,34
08/2004,Burgos,Exploración,Terrestre,Pemex Exploración y Producción,5
08/2004,Cuencas del Sureste,Desarrollo,Aguas someras,Pemex Exploración y Producción,2
08/2004,Cuencas del Sureste,Desarrollo,Terrestre,Pemex Exploración y Producción,5
08/2004,Cuencas del Sureste,Exploración,Terrestre,Pemex Exploración y Producción,1
08/2004,Tampico-Misantla,Desarrollo,Terrestre,Pemex Exploración y Producción,10
08/2004,Veracruz,Desarrollo,Terrestre,Pemex Exploración y Producción,7
08/2004,Veracruz,Exploración,Terrestre,Pemex Exploración y Producción,1
09/2004,Burgos,Desarrollo,Terrestre,Pemex Exploración y Producción,18
09/2004,Burgos,Exploración,Terrestre,Pemex Exploración y Producción,2
09/2004,Cuencas del Sureste,Desarrollo,Aguas someras,Pemex Exploración y Producción,2
09/2004,Cuencas del Sureste,Desarrollo,Terrestre,Pemex Exploración y Producción,4
09/2004,Cuencas del Sureste,Exploración,Aguas someras,Pemex Exploración y Producción,3
09/2004,Cuencas del Sureste,Exploración,Terrestre,Pemex Exploración y Producción,2
09/2004,Tampico-Misantla,Desarrollo,Terrestre,Pemex Exploración y Producción,7
09/2004,Tampico-Misantla,Exploración,Aguas someras,Pemex Exploración y Producción,1
09/2004,Tampico-Misantla,Exploración,Terrestre,Pemex Exploración y Producción,1
09/2004,Veracruz,Desarrollo,Terrestre,Pemex Exploración y Producción,4
10/2004,Burgos,Desarrollo,Terrestre,Pemex Exploración y Producción,20
10/2004,Burgos,Exploración,Terrestre,Pemex Exploración y Producción,2
10/2004,Cuencas del Sureste,Desarrollo,Aguas someras,Pemex Exploración y Producción,4
10/2004,Cuencas del Sureste,Desarrollo,Terrestre,Pemex Exploración y Producción,7
10/2004,Cuencas del Sureste,Exploración,Aguas someras,Pemex Exploración y Producción,4
10/2004,Tampico-Misantla,Desarrollo,Terrestre,Pemex Exploración y Producción,6
10/2004,Veracruz,Desarrollo,Terrestre,Pemex Exploración y Producción,3
11/2004,Burgos,Desarrollo,Terrestre,Pemex Exploración y Producción,33
11/2004,Burgos,Exploración,Terrestre,Pemex Exploración y Producción,4
11/2004,Cuencas del Sureste,Desarrollo,Aguas someras,Pemex Exploración y Producción,1
11/2004,Cuencas del Sureste,Desarrollo,Terrestre,Pemex Exploración y Producción,6
11/2004,Cuencas del Sureste,Exploración,Aguas someras,Pemex Exploración y Producción,2
11/2004,Cuencas del Sureste,Exploración,Terrestre,Pemex Exploración y Producción,2
11/2004,Golfo de México Profundo,Exploración,Aguas profundas,Pemex Exploración y Producción,1
11/2004,Sabinas-Burro-Picachos,Exploración,Terrestre,Pemex Exploración y Producción,1
11/2004,Tampico-Misantla,Desarrollo,Aguas someras,Pemex Exploración y Producción,1
11/2004,Tampico-Misantla,Desarrollo,Terrestre,Pemex Exploración y Producción,3
11/2004,Veracruz,Desarrollo,Terrestre,Pemex Exploración y Producción,10
11/2004,Veracruz,Exploración,Terrestre,Pemex Exploración y Producción,1
12/2004,Burgos,Desarrollo,Terrestre,Pemex Exploración y Producción,32
12/2004,Burgos,Exploración,Terrestre,Pemex Exploración y Producción,5
12/2004,Cuencas del Sureste,Desarrollo,Aguas someras,Pemex Exploración y Producción,6
12/2004,Cuencas del Sureste,Desarrollo,Terrestre,Pemex Exploración y Producción,4
12/2004,Cuencas del Sureste,Exploración,Aguas someras,Pemex Exploración y Producción,2
12/2004,Cuencas del Sureste,Exploración,Terrestre,Pemex Exploración y Producción,1
12/2004,Tampico-Misantla,Desarrollo,Aguas someras,Pemex Exploración y Producción,1
12/2004,Tampico-Misantla,Desarrollo,Terrestre,Pemex Exploración y Producción,9
